"";"Универсальный передаточный
документ";"";"";"";"";"";"Счет-фактура №";"";"";"";"";"";"560494";"";"";"";"";"";"";"от";"";"";"";"28 марта 2022 г.";"";"";"";"";"";"";"";"(1)";"";"";"Приложение № 1 к постановлению Правительства Российской Федерации от 26 декабря 2011 г. № 1137
(в редакции постановления Правительства Российской Федерации от 2 апреля 2021 г. № 534)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2362"
"";"";"";"";"";"";"";"Исправление №";"";"";"";"";"";"--";"";"";"";"";"";"";"от";"";"";"";"--";"";"";"";"";"";"";"";"(1а)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"B08981812200;023047032<4105<02325403240=02328103205<41640=05<<050=441602394403205<<054164<1023704032164416023155902:0103240=4<1023<0594403200;0234<10;003245202380303200;461494@";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"Продавец:";"";"";"";"";"";"";"";"";"";"АО ""АВТО-ЕВРО"", в банке АО ""АЛЬФА-БАНК"", БИК 044525593, к/с 30101810200000000593, р/с 40702810502800000855";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"(2)";"";"Покупатель:";"";"";"";"";"";"ООО ""ПАРТСРУ""";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"(6)";"";"";"";""
"";"    Статус:";"";"1";"";"";"Адрес:";"";"";"";"";"";"";"";"";"";"129090, Москва г, Олимпийский пр-кт, дом № 16, строение 5, комната 7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"(2а)";"";"Адрес:";"";"";"";"";"";"125599, Москва г, Ижорская ул, дом № 5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"(6а)";"";"";"";""
"";"";"";"";"";"";"ИНН/КПП продавца:";"";"";"";"";"";"";"";"";"";"7712035729/770201001";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"(2б)";"";"ИНН/КПП покупателя:";"";"";"";"";"";"7713747944/774301001";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"(6б)";"";"";"";""
"";"1 – счет-фактура и передаточный документ (акт)
2 – передаточный документ (акт)";"";"";"";"";"Грузоотправитель и его адрес:";"";"";"";"";"";"";"";"";"";"он же";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"(3)";"";"Валюта: наименование, код";"";"";"";"";"";"Российский рубль, 643";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"(7)";"";"";"";""
"";"";"";"";"";"";"Грузополучатель и его адрес:";"";"";"";"";"";"";"";"";"";"ООО ""ПАРТСРУ"",Москва г., 1-й Дорожный проезд, д.5, бокс № 18";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"(4)";"";"Идентификатор государственного контракта, договора (соглашения) (при наличии):";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"(8)";"";"";"";"0018466481"
"";"";"";"";"";"";"К платежно-расчетному документу №";"";"";"";"";"";"";"";"";"";"   от   ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"(5)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Р: 1348"
"";"";"";"";"";"";"Документ об отгрузке";"";"";"";"";"";"";"";"";"";"№ п/п 1-4 №560494 от 28.03.2022 г.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"(5а)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"М: 415"
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"Код товара/ работ, услуг";"";"";"";"№
п/п";"";"";"";"Наименование товара (описание выполненных работ, оказанных услуг), имущественного права";"";"";"";"";"";"";"";"";"";"";"";"";"Код вида
товара";"";"";"";"Единица
измерения";"";"";"";"";"Коли-
чество 
(объем)";"";"";"";"";"";"";"Цена (тариф)
за
единицу измерения";"";"";"";"";"";"";"";"";"";"Стоимость товаров (работ, услуг), имущест-
венных прав без налога - всего";"";"";"";"В том
числе
сумма 
акциза";"";"";"Налоговая ставка";"";"";"Сумма налога, предъяв-
ляемая покупателю";"";"";"Стоимость товаров (работ, услуг), имущест-
венных прав с налогом - всего";"";"";"";"";"";"";"Страна
происхождения товара";"";"Регистрационный номер декларации на товары или регистрационный номер партии товара, подлежащего прослеживаемости";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"код";"";"условное обозна-
чение (нацио-
нальное)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"циф-
ро-
вой код";"краткое 
наименова-
ние";"";"";"";"";"";"";""
"";"А";"";"";"";"1";"";"";"";"1а";"";"";"";"";"";"";"";"";"";"";"";"";"1б";"";"";"";"2";"";"2а";"";"";"3";"";"";"";"";"";"";"4";"";"";"";"";"";"";"";"";"";"5";"";"";"";"6";"";"";"7";"";"";"8";"";"";"9";"";"";"";"";"";"";"10";"10а";"11";"";"";"";"";"";""
"";"SAKURA^CA1114";"";"";"";"1";"";"";"";"CA1114 | Фильтр салона TOYOTA COROLLA,AURIS,RAV 4,YARIS 1.0-2.0VVT-I,2.0-2.2D-4D 2006=>";"";"";"";"";"";"";"";"";"";"";"";"";"--";"";"";"";"796";"";"шт";"";"";"1";"";"";"";"";"";"";"567.5";"";"";"";"";"";"";"";"";"";"567.5";"";"";"";"без
акциза";"";"";"20%";"";"";"113.5";"";"";"681";"";"";"";"";"";"";"360";"ИНДОНЕЗИЯ";"10702070/260721/0227855";"";"";"";"";"";""
"";"LAND ROVER^LR004076";"";"";"";"2";"";"";"";"LR004076 | Патрубок впускного коллектора LM,LS [ORG]";"";"";"";"";"";"";"";"";"";"";"";"";"--";"";"";"";"796";"";"шт";"";"";"1";"";"";"";"";"";"";"2765.78";"";"";"";"";"";"";"";"";"";"2765.78";"";"";"";"без
акциза";"";"";"20%";"";"";"553.16";"";"";"3318.94";"";"";"";"";"";"";"276";"ГЕРМАНИЯ";"10013160/181221/3046321";"";"";"";"";"";""
"";"SAKURA^A61370";"";"";"";"3";"";"";"";"A61370 | Фильтр возд.INFINITY G37/NISSAN SKYLINE/GT-R  06-";"";"";"";"";"";"";"";"";"";"";"";"";"--";"";"";"";"796";"";"шт";"";"";"2";"";"";"";"";"";"";"808.34";"";"";"";"";"";"";"";"";"";"1616.67";"";"";"";"без
акциза";"";"";"20%";"";"";"323.33";"";"";"1940";"";"";"";"";"";"";"360";"ИНДОНЕЗИЯ";"10702070/240921/0306389";"";"";"";"";"";""
"";"B08981812200;023047032<4105<02325403240=02328103205<41640=05<<050=441602394403205<<054164<1023704032164416023155902:0103240=4<1023<0594403200;0234<10;003245202380303200;5600<5@";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"Универсальный передаточный документ № 560494 от 28 марта 2022 г.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Лист 2";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"Код товара/ работ, услуг";"";"";"";"№
п/п";"";"";"";"Наименование товара (описание выполненных работ, оказанных услуг), имущественного права";"";"";"";"";"";"";"";"";"";"";"";"";"Код вида
товара";"";"";"";"Единица
измерения";"";"";"";"";"Коли-
чество 
(объем)";"";"";"";"";"";"";"Цена (тариф)
за
единицу измерения";"";"";"";"";"";"";"";"";"";"Стоимость товаров (работ, услуг), имущест-
венных прав без налога - всего";"";"";"";"В том
числе
сумма 
акциза";"";"";"Налоговая ставка";"";"";"Сумма налога, предъяв-
ляемая покупателю";"";"";"Стоимость товаров (работ, услуг), имущест-
венных прав с налогом - всего";"";"";"";"";"";"";"Страна
происхождения товара";"";"Регистрационный номер декларации на товары или регистрационный номер партии товара, подлежащего прослеживаемости";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"код";"";"условное обозна-
чение (нацио-
нальное)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"циф-
ро-
вой код";"краткое 
наименова-
ние";"";"";"";"";"";"";""
"";"А";"";"";"";"1";"";"";"";"1а";"";"";"";"";"";"";"";"";"";"";"";"";"1б";"";"";"";"2";"";"2а";"";"";"3";"";"";"";"";"";"";"4";"";"";"";"";"";"";"";"";"";"5";"";"";"";"6";"";"";"7";"";"";"8";"";"";"9";"";"";"";"";"";"";"10";"10а";"11";"";"";"";"";"";""
"";"SAKURA^A33880";"";"";"";"4";"";"";"";"A33880 | Фильтр возд.TOYOTA PRIUS 1.8 09-";"";"";"";"";"";"";"";"";"";"";"";"";"--";"";"";"";"796";"";"шт";"";"";"1";"";"";"";"";"";"";"630.83";"";"";"";"";"";"";"";"";"";"630.83";"";"";"";"без
акциза";"";"";"20%";"";"";"126.17";"";"";"757";"";"";"";"";"";"";"360";"ИНДОНЕЗИЯ";"10013160/190222/3102300";"";"";"";"";"";""
"";"";"";"";"";"Всего к оплате";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5580.78";"";"";"";"Х";"";"";"";"";"";"1116.16";"";"";"6696.94";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"Документ составлен на
2 листах";"";"";"";"";"";"";"Руководитель организации
или иное уполномоченное лицо";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Пухов Н. О.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Главный бухгалтер
или иное уполномоченное лицо";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Букарева Н. В.";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"(подпись)";"";"";"";"";"";"";"";"";"";"(ф.и.о.)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"(подпись)";"";"";"";"";"";"";"";"";"";"(ф.и.о.)";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"Индивидуальный предприниматель
или иное уполномоченное лицо";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"(подпись)";"";"";"";"";"";"";"";"";"";"(ф.и.о.)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"(реквизиты свидетельства о государственной  регистрации индивидуального предпринимателя)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Договор – оферта № 1-ОФ от 14 мая 2019 г.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"[8]";"";"";"";"";""
"";"";"Основание передачи (сдачи) / получения (приемки)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"(договор; доверенность и др.)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"Данные о транспортировке и грузе";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"[9]";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"(транспортная накладная, поручение экспедитору, экспедиторская / складская расписка и др. / масса нетто/ брутто груза, если не приведены ссылки на транспортные документы, содержащие эти сведения)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"Товар (груз) передал / услуги, результаты работ, права сдал";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Товар (груз) получил / услуги, результаты работ, права принял";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"Бригадир";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Четверик А. А.";"";"";"";"";"";"";"";"";"";"";"";"[10]";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"[15]";"";"";"";"";""
"";"";"(должность)";"";"";"";"";"";"";"";"";"(подпись)";"";"";"";"";"";"";"";"";"";"";"";"";"";"(ф.и.о.)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"(должность)";"";"";"";"";"";"";"";"";"(подпись)";"";"";"";"";"";"";"";"";"";"(ф.и.о.)";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"Дата отгрузки, передачи (сдачи)";"";"";"";"";"";"";"";"";"";"« 28 »    марта   2022  года";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"[11]";"";"";"";"";"";"";"";"Дата получения (приемки)";"";"";"";"";"";"";"";"";"«      »                    20     года";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"[16]";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"Иные сведения об отгрузке, передаче";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Иные сведения о получении, приемке";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"[12]";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"[17]";"";"";"";"";""
"";"";"(ссылки на неотъемлемые приложения, сопутствующие документы, иные документы и т.п.)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"(информация о наличии/отсутствии претензии; ссылки на неотъемлемые приложения, и другие  документы и т.п.)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"Ответственный за правильность оформления факта хозяйственной жизни";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Ответственный за правильность оформления факта хозяйственной жизни";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"Бригадир";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Четверик А. А.";"";"";"";"";"";"";"";"";"";"";"";"[13]";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"[18]";"";"";"";"";""
"";"";"(должность)";"";"";"";"";"";"";"";"";"(подпись)";"";"";"";"";"";"";"";"";"";"";"";"";"";"(ф.и.о.)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"(должность)";"";"";"";"";"";"";"";"";"(подпись)";"";"";"";"";"";"";"";"";"";"(ф.и.о.)";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"Наименование экономического субъекта – составителя документа (в т.ч. комиссионера / агента)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Наименование экономического субъекта – составителя документа";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"АО ""АВТО-ЕВРО"", в банке АО ""АЛЬФА-БАНК"", БИК 044525593, к/с 30101810200000000593, р/с 40702810502800000855, ИНН/КПП 7712035729/770201001";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"[14]";"";"";"";"";"";"";"";"ООО ""ПАРТСРУ"", ИНН/КПП 7713747944/774301001";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"[19]";"";"";"";"";""
"";"";"(может не заполняться при проставлении печати в М.П., может быть указан ИНН / КПП)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"(может не заполняться при проставлении печати в М.П., может быть указан ИНН / КПП)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"М.П.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"М.П.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
